EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:25:30	0	0.1000	0.6429814175102982	0.29063940048217773	0.6951	0.6024	0.6454	0.5067
2	16:26:12	0	0.1000	0.2645920864103488	0.19056494534015656	0.7844	0.7315	0.757	0.6478
3	16:26:54	0	0.1000	0.21469544606873722	0.1602565050125122	0.7889	0.7653	0.7769	0.6769
4	16:27:36	0	0.1000	0.18527585299583388	0.13870877027511597	0.7895	0.7792	0.7843	0.6905
5	16:28:17	0	0.1000	0.16721178369733095	0.1347608119249344	0.7966	0.7822	0.7894	0.6959
6	16:28:59	1	0.1000	0.15547170638932215	0.13658244907855988	0.7813	0.7784	0.7799	0.6877
7	16:29:39	0	0.1000	0.1453019839215352	0.1197860836982727	0.8176	0.784	0.8005	0.7106
8	16:30:22	1	0.1000	0.1356768829522211	0.12232431769371033	0.7864	0.7817	0.784	0.6872
9	16:31:02	2	0.1000	0.1287188670088374	0.12458842992782593	0.8158	0.7706	0.7926	0.7025
10	16:31:42	0	0.1000	0.12269965306386443	0.11177538335323334	0.8076	0.806	0.8068	0.7213
11	16:32:25	1	0.1000	0.11777872433611226	0.11426805704832077	0.8243	0.7801	0.8016	0.7115
12	16:33:09	2	0.1000	0.11245586840895387	0.10896037518978119	0.8077	0.8046	0.8061	0.7193
13	16:33:49	0	0.1000	0.11007563350750627	0.10270203649997711	0.8301	0.7953	0.8123	0.726
14	16:34:34	1	0.1000	0.10646677125729567	0.1030087098479271	0.8214	0.7913	0.8061	0.7215
15	16:35:14	0	0.1000	0.101826851291644	0.09940093755722046	0.8298	0.8016	0.8154	0.7316
16	16:35:56	1	0.1000	0.09902701739258908	0.10186639428138733	0.8115	0.8078	0.8097	0.7239
17	16:36:38	2	0.1000	0.09620853192384428	0.10348860174417496	0.8143	0.796	0.805	0.7211
18	16:37:18	3	0.1000	0.0944973379811922	0.10596070438623428	0.8269	0.7883	0.8071	0.7215
19	16:37:57	4	0.1000	0.09193317977960665	0.1065370962023735	0.7821	0.7774	0.7797	0.7002
20	16:38:37	0	0.0500	0.08407227662879597	0.09972771257162094	0.8282	0.805	0.8164	0.733
21	16:39:23	1	0.0500	0.08104713526416743	0.10079874843358994	0.8217	0.8022	0.8118	0.7298
22	16:40:05	2	0.0500	0.07943099270739955	0.09914444386959076	0.8209	0.8081	0.8144	0.7323
23	16:40:45	3	0.0500	0.07945412710431607	0.10229678452014923	0.8234	0.8022	0.8127	0.7281
24	16:41:26	4	0.0500	0.07537739008953252	0.10497360676527023	0.8228	0.7997	0.8111	0.7277
25	16:42:06	1	0.0250	0.07353781694618404	0.10154880583286285	0.8179	0.8085	0.8132	0.7313
26	16:42:43	2	0.0250	0.0724314726680452	0.10071013867855072	0.8179	0.8031	0.8105	0.7283
27	16:43:24	3	0.0250	0.06999640444190829	0.10022682696580887	0.8221	0.808	0.815	0.7339
28	16:44:04	4	0.0250	0.07043492468351566	0.10189281404018402	0.8203	0.8084	0.8143	0.7325
29	16:44:44	1	0.0125	0.06779366503822773	0.10070215910673141	0.8218	0.8069	0.8143	0.7342
30	16:45:24	2	0.0125	0.06760090854928383	0.10073280334472656	0.8194	0.8122	0.8158	0.7357
31	16:46:04	3	0.0125	0.06656210887738992	0.10031324625015259	0.8218	0.8092	0.8155	0.7348
32	16:46:43	4	0.0125	0.06839374966609171	0.10033149272203445	0.8217	0.8042	0.8129	0.733
33	16:47:24	1	0.0063	0.06614052255628566	0.10061866044998169	0.8212	0.8068	0.8139	0.7334
34	16:48:02	2	0.0063	0.06541137539470562	0.10051164776086807	0.8236	0.8093	0.8164	0.7363
35	16:48:42	3	0.0063	0.06520771301917969	0.10202046483755112	0.8199	0.8067	0.8132	0.7327
36	16:49:22	4	0.0063	0.06682882828891862	0.10161057859659195	0.8206	0.8055	0.813	0.7322
37	16:50:01	1	0.0031	0.06500189663704048	0.10135158151388168	0.822	0.8074	0.8147	0.7342
38	16:50:42	2	0.0031	0.06511894612884073	0.10139508545398712	0.821	0.8091	0.815	0.7347
39	16:51:22	3	0.0031	0.06523233062480226	0.1011594831943512	0.8206	0.8087	0.8146	0.7339
40	16:52:02	4	0.0031	0.06527160821377971	0.10154388099908829	0.8205	0.8072	0.8138	0.7331
41	16:52:41	1	0.0016	0.06405567114178944	0.10128604620695114	0.8214	0.8085	0.8149	0.7344
42	16:53:21	2	0.0016	0.0640170948415332	0.10108868777751923	0.8208	0.8083	0.8145	0.7342
43	16:54:02	3	0.0016	0.06462100403382899	0.10086110979318619	0.8209	0.8092	0.815	0.7343
44	16:54:42	4	0.0016	0.06519036510118029	0.10086672753095627	0.8203	0.8079	0.814	0.7334
45	16:55:22	1	0.0008	0.06397227402257671	0.10115446150302887	0.8201	0.808	0.814	0.7333
46	16:56:02	2	0.0008	0.06373950240574419	0.1012072041630745	0.82	0.8086	0.8143	0.7337
47	16:56:42	3	0.0008	0.06495519216335453	0.10127238929271698	0.8201	0.8083	0.8142	0.7335
48	16:57:20	4	0.0008	0.06405085765862466	0.1011594757437706	0.8204	0.8083	0.8143	0.7336
49	16:58:01	1	0.0004	0.06384352418909721	0.10123956203460693	0.82	0.8081	0.814	0.7332
50	16:58:40	2	0.0004	0.06458455802510851	0.10129989683628082	0.8199	0.808	0.8139	0.7332
51	16:59:20	3	0.0004	0.061799697148431865	0.10132648050785065	0.82	0.8081	0.814	0.7334
52	17:00:00	4	0.0004	0.06287085231695928	0.1013476699590683	0.82	0.8082	0.814	0.7334
53	17:00:40	1	0.0002	0.06345943818130301	0.10136914253234863	0.8203	0.8084	0.8143	0.7338
54	17:01:21	2	0.0002	0.06381823917343561	0.10136054456233978	0.8201	0.8083	0.8141	0.7335
55	17:02:01	3	0.0002	0.06416796677690555	0.10131732374429703	0.8201	0.8083	0.8141	0.7335
56	17:02:40	4	0.0002	0.06508104401435996	0.10130804777145386	0.8202	0.8082	0.8141	0.7335
