EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:18:29	0	0.1000	0.2293877242252806	0.1021013855934143	0.8368	0.8001	0.818	0.7335
2	21:20:41	0	0.1000	0.1257771065258932	0.08237498253583908	0.848	0.8191	0.8333	0.7543
3	21:22:54	0	0.1000	0.10939492157795831	0.07623609155416489	0.8383	0.8354	0.8369	0.7614
4	21:25:12	1	0.1000	0.10034426725365574	0.07459072768688202	0.8346	0.8259	0.8302	0.7467
5	21:27:23	0	0.1000	0.09538308459940308	0.0686621442437172	0.8476	0.8406	0.8441	0.7697
6	21:29:36	0	0.1000	0.09120757315052737	0.06595407426357269	0.8529	0.8394	0.8461	0.7735
7	21:31:53	0	0.1000	0.0881777119993048	0.06496972590684891	0.8529	0.8431	0.848	0.7765
8	21:34:06	0	0.1000	0.08576012057897892	0.06331592798233032	0.8594	0.8371	0.8481	0.7759
9	21:36:20	0	0.1000	0.08358787583796111	0.06309813261032104	0.8606	0.8388	0.8495	0.778
10	21:38:37	1	0.1000	0.08177125992422792	0.06283058971166611	0.8543	0.8447	0.8495	0.7783
11	21:40:49	0	0.1000	0.0807478079976502	0.06206005811691284	0.8622	0.8427	0.8523	0.7804
12	21:43:04	1	0.1000	0.07942951204213516	0.06197437644004822	0.8547	0.8469	0.8508	0.7814
13	21:45:21	2	0.1000	0.07776242924607871	0.06138196587562561	0.8562	0.8452	0.8507	0.7797
14	21:47:33	0	0.1000	0.0770478722199066	0.06048334762454033	0.863	0.8459	0.8544	0.7836
15	21:49:47	0	0.1000	0.0756656608065328	0.061188410967588425	0.8538	0.8587	0.8563	0.7877
16	21:52:05	1	0.1000	0.07481400081398096	0.060550808906555176	0.8548	0.8471	0.8509	0.7793
17	21:54:16	2	0.1000	0.07376916750944115	0.05978919193148613	0.8608	0.8471	0.8539	0.7845
18	21:56:33	3	0.1000	0.07380384428103248	0.06013716757297516	0.8615	0.8474	0.8544	0.7852
19	21:58:45	4	0.1000	0.07291060793766513	0.05935181677341461	0.8654	0.8461	0.8556	0.7872
20	22:00:58	0	0.0500	0.06883316191642799	0.05731910467147827	0.8634	0.8515	0.8574	0.7897
21	22:03:16	1	0.0500	0.0664529524204041	0.057833921164274216	0.8617	0.8514	0.8565	0.789
22	22:05:28	2	0.0500	0.0653758608896958	0.057187389582395554	0.8617	0.8466	0.8541	0.7839
23	22:07:39	3	0.0500	0.06478276674473876	0.0574125200510025	0.8589	0.8531	0.856	0.7876
24	22:09:55	0	0.0500	0.06429420871205065	0.05679253861308098	0.864	0.8529	0.8584	0.7907
25	22:12:08	0	0.0500	0.0636559312330708	0.05687025934457779	0.8654	0.852	0.8587	0.7917
26	22:14:22	1	0.0500	0.06337768637349649	0.05568591505289078	0.8634	0.8516	0.8574	0.79
27	22:16:39	0	0.0500	0.06248852486754976	0.05694800987839699	0.861	0.8571	0.859	0.7925
28	22:18:53	1	0.0500	0.06212608996412777	0.05657054856419563	0.8612	0.8553	0.8582	0.7908
29	22:21:05	0	0.0500	0.06141155766884457	0.05624542757868767	0.8673	0.8547	0.861	0.7953
30	22:23:24	0	0.0500	0.06141592995449061	0.056238528341054916	0.867	0.8552	0.8611	0.7952
31	22:25:37	1	0.0500	0.06112344518459862	0.05621250718832016	0.8625	0.8537	0.8581	0.7908
32	22:27:49	0	0.0500	0.0600675666585403	0.05627703294157982	0.8661	0.8563	0.8611	0.7938
33	22:30:08	1	0.0500	0.059378308654155706	0.056675221771001816	0.8679	0.8524	0.8601	0.7928
34	22:32:20	2	0.0500	0.05926527900605601	0.057398829609155655	0.862	0.8575	0.8598	0.794
35	22:34:33	0	0.0500	0.059082629534243834	0.056521978229284286	0.8687	0.8552	0.8619	0.7968
36	22:36:52	1	0.0500	0.05852766499950392	0.05722115933895111	0.8628	0.8567	0.8597	0.7931
37	22:39:03	2	0.0500	0.05818178082000505	0.0565076619386673	0.8657	0.8557	0.8607	0.7951
38	22:41:21	3	0.0500	0.058022809311029794	0.05620478838682175	0.8649	0.8553	0.8601	0.7938
39	22:43:33	0	0.0500	0.05766829506764225	0.05623583495616913	0.8663	0.8602	0.8633	0.7985
40	22:45:46	1	0.0500	0.056960227358962	0.05683181807398796	0.8637	0.8575	0.8606	0.7951
